State,Year,<25k,50k,100k,200k,300k,>300k,TotalEconomic
Sikkim,2003,17,0,0,0,0,0,17
Tamil Nadu,2003,4712,178,3,1,1,0,4895
Tripura,2003,0,0,0,0,0,0,0
Uttar Pradesh,2003,43,8,10,0,0,0,61
Uttarakhand,2003,4,15,11,0,0,0,30
West Bengal,2003,88,35,0,0,0,0,123
Andaman & Nicobar Islands,2004,12,1,0,0,0,0,13
Andhra Pradesh,2004,1620,437,131,8,0,0,2196
Arunachal Pradesh,2004,35,56,0,0,0,0,91
Assam,2004,153,101,35,23,17,2,331
Bihar,2004,124,92,20,0,0,0,236
Chandigarh,2004,20,35,48,4,2,0,109
Chhattisgarh,2004,1474,319,85,118,6,0,2002
Dadra & Nagar Haveli,2004,4,0,0,0,0,0,4
Daman & Diu,2004,0,0,0,0,0,0,0
Delhi,2004,556,244,92,17,0,0,909
Goa,2004,50,14,9,1,0,0,74
Gujarat,2004,2392,238,33,19,6,1,2689
Haryana,2004,848,516,186,81,46,0,1677
Himachal Pradesh,2004,72,41,4,0,0,0,117
Jammu & Kashmir,2004,9,1,0,0,0,1,11
Jharkhand,2004,302,290,132,98,0,0,822
Karnataka,2004,353,39,40,8,0,0,440
Kerala,2004,264,96,18,4,0,0,382
Lakshadweep,2004,0,0,0,0,0,0,0
Madhya Pradesh,2004,4885,1576,891,76,5,0,7433
Maharashtra,2004,4248,968,220,59,1,0,5496
Manipur,2004,0,0,0,0,0,0,0
Meghalaya,2004,36,19,0,0,0,0,55
Mizoram,2004,703,115,0,0,0,0,818
Nagaland,2004,3,0,0,0,0,0,3
Odisha,2004,335,24,0,0,0,0,359
Puducherry,2004,55,0,0,0,0,0,55
Punjab,2004,58,27,9,2,0,0,96
Rajasthan,2004,1303,368,162,26,15,1,1875
Sikkim,2004,3,6,4,0,0,0,13
Tamil Nadu,2004,2296,72,5,0,0,0,2373
Tripura,2004,0,0,0,0,0,0,0
Uttar Pradesh,2004,91,24,12,5,3,0,135
Uttarakhand,2004,5,25,6,0,0,0,36
West Bengal,2004,78,15,0,0,0,0,93
Andaman & Nicobar Islands,2005,2,8,0,0,0,0,10
Andhra Pradesh,2005,1633,611,165,19,0,0,2428
Arunachal Pradesh,2005,23,54,50,20,0,0,147
Assam,2005,244,69,29,13,12,6,373
Bihar,2005,160,63,109,5,0,0,337
Chandigarh,2005,82,34,0,0,0,0,116
Chhattisgarh,2005,2500,505,102,20,10,0,3137
Dadra & Nagar Haveli,2005,19,0,0,0,0,0,19
Daman & Diu,2005,0,0,1,0,0,0,1
Delhi,2005,938,240,53,17,1,1,1250
Goa,2005,51,6,5,4,0,0,66
Gujarat,2005,2192,330,169,49,4,4,2748
Haryana,2005,886,546,139,52,0,0,1623
Himachal Pradesh,2005,89,95,10,0,0,0,194
Jammu & Kashmir,2005,7,0,0,0,0,0,7
Jharkhand,2005,361,349,192,158,0,0,1060
Karnataka,2005,188,47,6,0,0,1,242
Kerala,2005,296,133,32,3,0,0,464
Lakshadweep,2005,1,0,0,0,0,0,1
Madhya Pradesh,2005,4136,1346,611,181,82,22,6378
Maharashtra,2005,4951,993,247,105,3,4,6303
Manipur,2005,0,0,0,0,0,0,0
Meghalaya,2005,62,18,15,12,0,0,107
Mizoram,2005,132,127,78,49,24,3,413
Nagaland,2005,3,0,0,0,0,0,3
Odisha,2005,603,42,6,4,0,0,655
Puducherry,2005,23,16,3,0,0,0,42
Punjab,2005,55,69,8,2,1,0,135
Rajasthan,2005,1413,339,171,32,3,0,1958
Sikkim,2005,24,0,0,0,0,0,24
Tamil Nadu,2005,1985,161,1,1,0,0,2148
Tripura,2005,0,0,0,0,0,0,0
Uttar Pradesh,2005,57,44,14,0,0,0,115
Uttarakhand,2005,24,8,7,0,0,0,39
West Bengal,2005,136,2,0,0,0,0,138
Andaman & Nicobar Islands,2006,15,73,0,3,0,0,91
Andhra Pradesh,2006,1425,382,58,14,0,0,1879
Arunachal Pradesh,2006,9,43,28,0,0,0,80
Assam,2006,289,191,57,2,0,0,539
Bihar,2006,162,51,26,0,0,0,239
Chandigarh,2006,70,21,12,4,0,0,107
Chhattisgarh,2006,1432,409,170,27,15,0,2053
Dadra & Nagar Haveli,2006,9,0,0,0,0,0,9
Daman & Diu,2006,1,0,4,0,0,0,5
Delhi,2006,1125,353,35,0,0,0,1513
Goa,2006,60,5,1,1,0,1,68
Gujarat,2006,2363,314,74,10,8,38,2807
Haryana,2006,850,619,196,47,0,0,1712
Himachal Pradesh,2006,90,27,5,6,0,0,128
Jammu & Kashmir,2006,0,0,2,3,2,1,8
Jharkhand,2006,565,272,25,0,0,0,862
Karnataka,2006,558,61,26,4,10,0,659
Kerala,2006,338,69,29,7,1,0,444
Lakshadweep,2006,0,0,0,0,0,0,0
Madhya Pradesh,2006,4353,1745,523,182,1,10,6814
Maharashtra,2006,5486,735,274,145,15,3,6658
Manipur,2006,0,0,0,0,0,0,0
Meghalaya,2006,51,2,5,0,0,0,58
Mizoram,2006,55,5,9,20,0,0,89
Nagaland,2006,3,0,0,0,0,0,3
Odisha,2006,552,59,15,1,0,0,627
Puducherry,2006,14,20,3,0,0,0,37
Punjab,2006,59,92,1,0,0,7,159
Rajasthan,2006,1253,539,279,15,0,0,2086
Sikkim,2006,31,4,0,0,0,0,35
Tamil Nadu,2006,1825,138,11,0,0,0,1974
Tripura,2006,0,0,0,0,0,0,0
Uttar Pradesh,2006,83,58,25,6,0,0,172
Uttarakhand,2006,57,34,13,2,0,0,106
West Bengal,2006,85,32,7,0,0,0,124
Andaman & Nicobar Islands,2007,13,57,5,0,0,0,75
Andhra Pradesh,2007,1550,297,54,40,3,9,1953
Arunachal Pradesh,2007,40,56,9,0,0,0,105
Assam,2007,1050,76,23,6,0,0,1155
Bihar,2007,879,404,174,12,0,0,1469
Chandigarh,2007,33,51,17,15,2,0,118
Chhattisgarh,2007,1249,314,157,157,83,67,2027
Dadra & Nagar Haveli,2007,2,9,0,0,0,0,11
Daman & Diu,2007,3,11,0,0,0,0,14
Delhi,2007,689,210,53,14,4,0,970
Goa,2007,50,20,5,0,1,1,77
Gujarat,2007,2333,416,124,3,2,0,2878
Haryana,2007,849,778,161,50,0,2,1840
Himachal Pradesh,2007,73,53,17,2,0,0,145
Jammu & Kashmir,2007,5,5,5,0,0,0,15
Jharkhand,2007,466,36,7,0,0,0,509
Karnataka,2007,446,97,46,23,5,0,617
Kerala,2007,289,233,112,41,0,0,675
Lakshadweep,2007,0,0,0,0,0,0,0
Madhya Pradesh,2007,4755,1595,650,343,7,0,7350
Maharashtra,2007,4945,1334,304,231,11,11,6836
Manipur,2007,0,0,0,0,0,0,0
Meghalaya,2007,97,9,0,0,0,0,106
Mizoram,2007,56,35,0,0,0,0,91
Nagaland,2007,0,0,0,0,0,0,0
Odisha,2007,446,164,48,0,0,0,658
Puducherry,2007,17,37,8,0,0,0,62
Punjab,2007,63,63,0,0,0,3,129
Rajasthan,2007,1269,579,182,76,18,0,2124
Sikkim,2007,94,0,0,0,0,0,94
Tamil Nadu,2007,1448,179,94,0,0,0,1721
Tripura,2007,0,2,0,0,0,0,2
Uttar Pradesh,2007,209,127,69,22,0,0,427
Uttarakhand,2007,103,12,14,0,0,0,129
West Bengal,2007,105,37,1,2,0,0,145
Andaman & Nicobar Islands,2008,0,16,31,8,0,0,55
Andhra Pradesh,2008,1309,215,85,9,4,0,1622
Arunachal Pradesh,2008,50,31,4,0,0,0,85
Assam,2008,315,254,40,24,0,11,644
Bihar,2008,597,448,124,63,9,3,1244
Chandigarh,2008,46,79,34,1,2,0,162
Chhattisgarh,2008,1555,671,672,88,60,0,3046
Dadra & Nagar Haveli,2008,14,8,0,0,0,0,22
Daman & Diu,2008,11,0,0,0,0,0,11
Delhi,2008,310,158,41,7,5,2,523
Goa,2008,29,20,17,0,1,0,67
Gujarat,2008,2113,405,140,10,31,0,2699
Haryana,2008,718,804,218,43,9,7,1799
Himachal Pradesh,2008,85,35,32,11,0,0,163
Jammu & Kashmir,2008,0,12,0,0,0,0,12
Jharkhand,2008,401,138,10,0,0,0,549
Karnataka,2008,323,120,47,16,6,3,515
Kerala,2008,373,233,147,23,0,0,776
Lakshadweep,2008,0,0,0,0,0,0,0
Madhya Pradesh,2008,4516,1326,960,301,5,0,7108
Maharashtra,2008,4524,1620,654,99,115,7,7019
Manipur,2008,0,0,0,0,0,0,0
Meghalaya,2008,87,41,8,2,1,0,139
Mizoram,2008,63,7,0,0,0,0,70
Nagaland,2008,0,0,0,0,0,0,0
Odisha,2008,577,174,22,0,0,0,773
Puducherry,2008,33,18,4,0,0,0,55
Punjab,2008,51,38,10,14,0,0,113
Rajasthan,2008,1335,533,386,68,28,2,2352
Sikkim,2008,31,4,2,0,0,0,37
Tamil Nadu,2008,1384,172,37,0,0,0,1593
Tripura,2008,21,12,8,2,0,0,43
Uttar Pradesh,2008,115,127,80,24,1,0,347
Uttarakhand,2008,98,33,25,1,0,0,157
West Bengal,2008,369,273,47,12,4,2,707
Andaman & Nicobar Islands,2009,8,18,11,1,0,0,38
Andhra Pradesh,2009,1177,263,108,15,2,0,1565
Arunachal Pradesh,2009,22,88,29,0,0,0,139
Assam,2009,376,148,29,10,0,0,563
Bihar,2009,537,393,69,67,0,0,1066
Chandigarh,2009,82,4,33,16,0,0,135
Chhattisgarh,2009,1500,887,509,140,76,0,3112
Dadra & Nagar Haveli,2009,6,12,6,2,0,0,26
Daman & Diu,2009,0,2,1,0,0,0,3
Delhi,2009,425,114,47,0,0,0,586
Goa,2009,52,14,8,2,0,0,76
Gujarat,2009,1960,333,146,14,8,5,2466
Haryana,2009,491,587,236,36,15,9,1374
Himachal Pradesh,2009,85,59,26,0,0,0,170
Jammu & Kashmir,2009,4,7,0,0,0,0,11
Jharkhand,2009,546,173,64,5,0,0,788
Karnataka,2009,158,60,40,21,1,2,282
Kerala,2009,340,208,118,31,10,0,707
Lakshadweep,2009,0,0,0,0,0,0,0
Madhya Pradesh,2009,4112,1271,484,316,2,1,6186
Maharashtra,2009,4713,1204,645,267,128,15,6972
Manipur,2009,0,0,0,0,0,0,0
Meghalaya,2009,45,38,5,0,0,0,88
Mizoram,2009,17,3,0,0,0,0,20
Nagaland,2009,2,0,14,3,1,0,20
Odisha,2009,357,76,39,6,5,0,483
Puducherry,2009,33,46,2,0,0,0,81
Punjab,2009,122,103,8,0,0,0,233
Rajasthan,2009,1509,545,233,138,31,0,2456
Sikkim,2009,43,14,3,0,0,0,60
Tamil Nadu,2009,2418,448,55,0,0,0,2921
Tripura,2009,47,22,22,0,0,0,91
Uttar Pradesh,2009,136,211,89,32,7,0,475
Uttarakhand,2009,146,62,30,14,2,0,254
West Bengal,2009,107,37,42,6,2,1,195
Andaman & Nicobar Islands,2010,17,7,2,0,0,0,26
Andhra Pradesh,2010,1322,423,136,57,8,3,1949
Arunachal Pradesh,2010,13,48,20,0,0,0,81
Assam,2010,179,129,40,27,7,3,385
Bihar,2010,397,259,64,17,3,2,742
Chandigarh,2010,87,29,41,11,0,0,168
Chhattisgarh,2010,1663,550,126,17,0,0,2356
Dadra & Nagar Haveli,2010,7,8,4,0,0,0,19
Daman & Diu,2010,3,2,2,2,1,0,10
Delhi,2010,408,122,70,18,6,3,627
Goa,2010,39,22,9,4,3,0,77
Gujarat,2010,1642,379,75,17,6,2,2121
Haryana,2010,305,326,223,31,14,8,907
Himachal Pradesh,2010,113,78,6,6,3,12,218
Jammu & Kashmir,2010,9,10,6,2,0,0,27
Jharkhand,2010,33,61,10,0,0,0,104
Karnataka,2010,139,50,13,0,2,0,204
Kerala,2010,422,245,115,36,8,0,826
Lakshadweep,2010,0,0,0,0,0,0,0
Madhya Pradesh,2010,4002,1685,578,172,11,1,6449
Maharashtra,2010,4186,1254,603,213,119,13,6388
Manipur,2010,0,0,0,0,0,0,0
Meghalaya,2010,77,22,18,1,0,0,118
Mizoram,2010,25,90,1,0,0,0,116
Nagaland,2010,44,9,0,0,0,0,53
Odisha,2010,447,66,29,2,0,0,544
Puducherry,2010,42,7,0,0,0,0,49
Punjab,2010,151,81,14,0,0,0,246
Rajasthan,2010,1290,683,279,90,27,9,2378
Sikkim,2010,82,0,0,0,0,0,82
Tamil Nadu,2010,1374,223,44,3,0,0,1644
Tripura,2010,32,11,3,0,0,0,46
Uttar Pradesh,2010,269,251,197,109,22,4,852
Uttarakhand,2010,21,63,30,24,16,0,154
West Bengal,2010,140,117,78,1,1,0,337
